(0, 9.4)
(1, 18.8)
(2, 28.2)
(3, 37.6)
(4, 47)
(5, 56.4)
(6, 65.8)
(7, 75.2)
(8, 84.6)
(9, 94)
(10, 103.4)
(11, 112.8)
(12, 122.2)
(13, 131.6)
(14, 141)
(15, 150.4)
(16, 159.8)
(17, 169.2)
(18, 178.6)
(19, 188)
(20, 197.4)
(21, 206.8)
(22, 216.2)
(23, 225.6)
(0, 235)
(1, 244.4)
(2, 253.8)
(3, 263.2)
(4, 272.6)
(5, 282)
(6, 291.4)
(7, 300.8)
(8, 310.2)
(9, 319.6)
(10, 329)
(11, 338.4)
(12, 347.8)
(13, 357.2)
(14, 366.6)
(15, 376)
(16, 385.4)
(17, 394.8)
(18, 404.2)
(19, 413.6)
(20, 423)
(21, 432.4)
(22, 441.8)
(23, 451.2)
(0, 460.6)
(1, 470)
